User Location,Bucket Name,Bucket Location,Latitude,Longitude,Distance (km)
texas,akabo,ap-south-1,19.0821978,72.7411017,14340.089752496584
texas,vasko,us-east-1,39.0211843,-77.440525,2097.3130053335262
